idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude
6281,PUNTOS DE MEDIDA URBANOS,55411,C/. Abelias - Abelias-Av. de los Andes,447845394273527.00,447095535380835.00,31,8.1556993731568,1.8398716073235
6282,PUNTOS DE MEDIDA URBANOS,55412,C/. Jarilla - Av. Piceas-Av. de los Andes,44785143287421.00,447067503875349.00,31,-4.5132959649116,7.8493863542196
6283,PUNTOS DE MEDIDA URBANOS,55413,Av. de los Andes - Av. de los Andes-Boj,447874780705272.00,447586225544744.00,31,-3.5137186052299,-1.0681938560790
6321,PUNTOS DE MEDIDA URBANOS,56041,C/. Gregorio S·nchez Herr·ez - Barichara-Santa Virgilia,448101893184615.00,445969922652522.00,31,-1.2788883928598,-4.2578251083778
6342,PUNTOS DE MEDIDA URBANOS,57011,Av. LogroÒo - TimÛn-Pajarones,448081492523785.00,450751302838711.00,31,-6.6312638526568,1.9971238164896
6362,PUNTOS DE MEDIDA URBANOS,59008,C/. Alcalde LÛpez Casero - Alcal·-Virgen de Lluc,447632402813515.00,444489240230385.00,31,1.1631435380632,3.8675612942213
6501,PUNTOS DE MEDIDA URBANOS,66019,Pitagoras N-S - Iliada-Pl. Grecia,447657112696827.00,448636859853228.00,31,6.4389210559272,1.4629306674216
3808,PUNTOS DE MEDIDA URBANOS,67006,C/. Hacienda Pavones - Intercambiador-Valdebernardo,447257022894172.00,446353668300202.00,31,-4.4140754084765,-7.1648688539988
6113,PUNTOS DE MEDIDA URBANOS,67008,Camino Vinateros  - Manuel Machado-Diego de Valderr·bano,447375129026983.00,444178284408282.00,31,2.7325944016119,5.9739274230486
6116,PUNTOS DE MEDIDA URBANOS,67011,Camino Vinateros  - Av. Moratalaz-Marroquina,447349362205947.00,445275239834814.00,31,-4.8121472891957,1.0733401474438
6457,PUNTOS DE MEDIDA URBANOS,67019,Acceso O`Donnell  - Acceso a Arroyo Media Legua desde O¬¥Donnell,447413312124419.00,444852452611899.00,31,-6.2677823045116,-1.8727289221965
6534,PUNTOS DE MEDIDA URBANOS,71035,C/. San Mariano - San Mariano-Alcal·,447751875475778.00,448051767035489.00,31,-1.8510409072815,4.7921365962960
6535,PUNTOS DE MEDIDA URBANOS,71036,C/. GutiÈrrez Canales - GutiÈrrez Canales-Alcal·,447780517856602.00,448082641012185.00,31,-8.2942830069785,-2.7096820100503
4837,PUNTOS DE MEDIDA URBANOS,26030,AV.ROSALES E-O(ANTEQUERA-ANDALUCIA),446904983283305.00,441328757848803.00,31,-5.9898587360348,-1.2941203985357
4838,PUNTOS DE MEDIDA URBANOS,26031,(TACTICA)SALIDA INTERCAMBIADOR AUTOBUSES,446704179175018.00,441321111744936.00,31,-3.8993188636674,-1.1454839094961
4839,PUNTOS DE MEDIDA URBANOS,27001,ALCOCER SE-NO(LAG.SANTI-EDUAR BARREIROS),44670659419467.00,440382215716017.00,31,5.8971114396705,1.3150794841755
4840,PUNTOS DE MEDIDA URBANOS,27002,S.JENARO SE-NO(ARROYO BUENO-ALCOCER),446696151664087.00,440287374848213.00,31,4.2718097004161,1.2373738621498
4842,PUNTOS DE MEDIDA URBANOS,27006,REAL DE PINTO SO-NE(SALSIPUEDES-MARISC),446648571855157.00,4400886857679.00,31,1.5919224505394,-4.0664239868802
6825,PUNTOS DE MEDIDA URBANOS,27007,REAL PINTO N-S(OXIGENO-MARTIN AREVALO),446670073083004.00,440121049445592.00,31,2.6512682703319,5.8104235792144
5151,PUNTOS DE MEDIDA URBANOS,80004,POBLADOS N-S(SEBASTIAN ALVARO-MELILOTO),44716720900677.00,434884223504389.00,31,-1.0103434179421,-3.2879665813730
9944,PUNTOS DE MEDIDA URBANOS,87030,AV. ROSALES N-S (SILVINA-SILVINA),446884410112079.00,441601198049498.00,31,-4.3063746127757,9.6818765558224
9989,PUNTOS DE MEDIDA URBANOS,87033,AV. ROSALES S-N,44677538351829.00,44226155613295.00,31,2.7945480245182,6.3463126875475
3403,PUNTOS DE MEDIDA URBANOS,98019,SESE?A GIRO O-N(ILLESCAS-ACCESO NV),447241575959313.00,435292353198102.00,31,-1.1808508172048,2.5210196554579
4521,PUNTOS DE MEDIDA URBANOS,31036,PABLO IGLESIAS S-N(ALMANSA-DR. FEDERICO RUBIO Y GALI),447831213853712.00,439808981224881.00,31,3.5020290090546,-7.6533457291425
4523,PUNTOS DE MEDIDA URBANOS,31038,DR.FEDERICO RUBIO Y GALI O-E(P.IGLESIAS-JERSNIMA LLORENTE),447842290674392.00,439871324602935.00,31,2.7787961053008,-6.2735685858992
4503,PUNTOS DE MEDIDA URBANOS,31010,STO. ANGEL DE LA GUARDA N-S(SANCHEZ PRECIADO-FRANCOS RDGUEZ),447915000896926.00,439681492520566.00,31,-1.3205132575787,3.0361100920475
