ESTACION,MAGNITUD,TECNICA,HORARIO,ANIO,MES,DIA,HORA1,HORA2,HORA3,HORA4,HORA5,HORA6,HORA7,HORA8,HORA9,HORA10,HORA11,HORA12,HORA13,HORA14,HORA15,HORA16,HORA17,HORA18,HORA19,HORA20,HORA21,HORA22,HORA23,HORA24
28079017,14,06,02,2016,10,12,00058,00049,00053,00063,00076,00062,00062,00051,00033,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,01,38,02,2016,10,12,00011,00011,00011,00011,00011,00011,00011,00011,00011,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,06,48,02,2016,10,12,000.3,000.3,000.3,000.3,000.2,000.2,000.2,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,07,08,02,2016,10,12,00003,00001,00005,00001,00001,00001,00001,00001,00001,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,08,08,02,2016,10,12,00029,00021,00026,00018,00013,00009,00009,00011,00017,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,10,47,02,2016,10,12,00013,00016,00019,00020,00015,00012,00013,00011,00012,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,12,08,02,2016,10,12,00033,00023,00033,00019,00014,00011,00010,00013,00019,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,14,06,02,2016,10,12,00071,00072,00063,00066,00070,00073,00067,00044,00033,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,20,59,02,2016,10,12,000.7,001.3,000.9,000.9,000.6,000.8,000.4,000.3,000.5,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,30,59,02,2016,10,12,000.2,000.2,000.2,000.2,000.2,000.1,000.1,000.2,000.2,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,35,59,02,2016,10,12,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,000.1,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,83,98,02,2016,10,12,016.3,015.5,015.0,015.1,015.5,015.6,014.4,013.0,012.6,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
28079018,89,98,02,2016,10,12,00.00,00.00,00.00,00.00,00.00,00.00,01.00,03.00,01.00,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
