idelem,tipo_elem,identif,nombre,north, east, zone, longitude, latitude,,,,
7077,PUNTOS DE MEDIDA URBANOS,"35058",Camilo JosÈ Cela. 4  S-N - Azcona-Eraso,447656417281913.00,443521904850891.00,31,-18.069.690.744.561,58.275.859.214.651,,,,
4685,PUNTOS DE MEDIDA URBANOS,"35054", Av.Toreros O-N - Colomer-Francisco Altimiras(Giro),447629282172075.00,443809002206901.00,31,30.023.876.320.319,91.719.010.257.869,,,,
4686,PUNTOS DE MEDIDA URBANOS,"35056", Mejico E-O - Eduardo Vicente-Cartagena,447681206003334.00,443107368425662.00,31,-42.314.598.391.012,91.630.418.122.106,,,,
9991,PUNTOS DE MEDIDA URBANOS,"62001",Capitan  Haya. 55  - Rosario Pino -Estebanez Calderon,447955190241619.00,441469320826229.00,31,-35.412.258.680.070,76.402.185.795.562,,,,
5978,PUNTOS DE MEDIDA URBANOS,"45033",C/. Hermanos GarcÌa Noblejas - Castillo de ArÈvalo-Castropol,447568934568106.00,446590422766994.00,31,28.192.786.392.947,87.611.321.546.061,,,,
5979,PUNTOS DE MEDIDA URBANOS,"45034",C/. Hermanos GarcÌa Noblejas - Castillo de UclÈs-Castillo de ArÈvalo,447551220215691.00,446688817801725.00,31,71.368.819.190.907,22.449.346.956.358,,,,
6071,PUNTOS DE MEDIDA URBANOS,"47010",C/. Arturo Soria - Briviesca-Caleruega,448151537650209.00,443577391328265.00,31,84.383.277.316.255,27.585.660.522.939,,,,
6148,PUNTOS DE MEDIDA URBANOS,"53018",C/. Emilio Ferrari - Vital Aza-Esteban Collantes,447607118760315.00,445695755926504.00,31,-48.475.540.070.278,-10.985.893.011.307,,,,
6265,PUNTOS DE MEDIDA URBANOS,"55054",Av. de los Andes - Mahonia-Mitra,447885821827165.00,447660980346048.00,31,-31.227.426.338.029,-71.705.612.903.199,,,,
6309,PUNTOS DE MEDIDA URBANOS,"56029",C/. Mar Adri·tico - Chiquinquira-Ayacucho,44804363219074.00,445922225843256.00,31,12.705.745.468.172,-42.306.011.078.193,,,,
6374,PUNTOS DE MEDIDA URBANOS,"59020",Av. Badajoz - MartÌnez Villergas-Torrelaguna,447724635409388.00,444635587149862.00,31,23.114.470.132.702,-51.256.013.516.083,,,,
3786,PUNTOS DE MEDIDA URBANOS,"59022",Av. Badajoz - Torrelaguna-MartÌnez Villergas,447727126256347.00,444655616920307.00,31,-39.915.829.212.089,16.508.252.497.812,,,,
6376,PUNTOS DE MEDIDA URBANOS,"59023",Av. Badajoz - MartÌnez Villergas-Salvador de Madariaga,447713566773448.00,444490094824713.00,31,-86.466.994.003.734,28.376.087.293.972,,,,
6377,PUNTOS DE MEDIDA URBANOS,"59024",C/. Salvador de Madariaga - Av. Badajoz-Verdaguer y GarcÌa,447705546998757.00,444383674107609.00,31,22.687.412.106.746,71.687.195.627.258,,,,
6406,PUNTOS DE MEDIDA URBANOS,"64021",MarÌa Sevilla Odiago - Niza-Av. Canillejas a Vic·lvaro,447618117768675.00,44829865340652.00,31,-43.960.465.888.800,-96.880.578.894.911,,,,
6468,PUNTOS DE MEDIDA URBANOS,"66002",Av. Arcentales - Av. Arcentales-Pl. Grecia,447638948169045.00,448760641219247.00,31,-22.815.566.298.366,-73.144.075.002.416,,,,
3698,PUNTOS DE MEDIDA URBANOS,"71021",C/. Miguel Yuste - Gta. Arcentales-Emilio MuÒÛz,447629054740173.00,447353187367056.00,31,16.155.228.944.035,-36.174.166.433.903,,,,
5207,PUNTOS DE MEDIDA URBANOS,"82007",C/. Monte de Barbanza - Travesia Gavia Seca-Real Arganda,447018214269754.00,447556390508885.00,31,18.625.647.561.689,-60.700.819.013.385,,,,
5222,PUNTOS DE MEDIDA URBANOS,"82403",Cno. Pozo Tio Raimundo - Cno. Pozo Tio Raimundo E-O(Antes Gr. 1),446965242860925.00,444846290216083.00,31,-51.522.513.057.229,-12.987.254.996.130,,,,
4787,PUNTOS DE MEDIDA URBANOS,"25021",ANTONIO LOPEZ S-N(S.ZACARIAS-MATI.GAYO),447148203593237.00,440578330046561.00,31,-40.669.774.350.415,59.114.120.823.541,,,,
5120,PUNTOS DE MEDIDA URBANOS,"51021",MU—OZ GRANDES O-E(B.TORRIJOS-CASTROJERIZ,447108875582129.00,437195552030183.00,31,13.972.368.301.303,-45.123.344.316.212,,,,
